Date,Open,High,Low,Close,Adj Close,Volume
2019-07-15,7.730000,7.800000,7.370000,7.660000,7.660000,270400
2019-07-16,8.210000,13.650000,8.190000,10.380000,10.380000,29559800
2019-07-17,10.200000,11.260000,9.330000,9.510000,9.510000,7887300
2019-07-18,9.670000,9.800000,8.330000,8.440000,8.440000,2207100
2019-07-19,8.600000,8.690000,8.050000,8.290000,8.290000,1640600
2019-07-22,8.480000,9.550000,8.190000,8.950000,8.950000,2400500
2019-07-23,9.450000,10.100000,9.220000,9.350000,9.350000,1942200
2019-07-24,9.380000,9.500000,8.860000,8.940000,8.940000,738700
2019-07-25,8.950000,9.863000,8.950000,9.770000,9.770000,1163100
2019-07-26,9.930000,10.250000,9.500000,9.750000,9.750000,975100
2019-07-29,9.700000,9.780000,9.080000,9.330000,9.330000,404600
2019-07-30,9.140000,9.300000,8.700000,8.740000,8.740000,463100
2019-07-31,8.610000,9.100000,8.610000,8.780000,8.780000,208800
2019-08-01,8.580000,8.990000,8.540000,8.630000,8.630000,247300
2019-08-02,8.710000,8.810000,7.670000,7.800000,7.800000,775500
2019-08-05,7.680000,8.450000,7.610000,7.830000,7.830000,670400
2019-08-06,7.700000,8.650000,7.210000,8.480000,8.480000,1212800
2019-08-07,8.430000,9.100000,8.000000,8.990000,8.990000,607600
2019-08-08,8.790000,9.015000,8.380000,8.500000,8.500000,392900
2019-08-09,8.390000,8.480000,7.820000,8.240000,8.240000,358100
2019-08-12,7.930000,8.280000,7.620000,8.240000,8.240000,434300
2019-08-13,8.300000,8.300000,7.780000,8.020000,8.020000,393900
2019-08-14,7.730000,7.880000,7.520000,7.720000,7.720000,528200
2019-08-15,7.540000,7.880000,7.270000,7.480000,7.480000,385100
2019-08-16,7.420000,7.620000,7.040000,7.450000,7.450000,357300
2019-08-19,7.300000,7.450000,7.000000,7.030000,7.030000,285100
2019-08-20,7.060000,7.300000,6.750000,7.110000,7.110000,481700
2019-08-21,6.950000,7.230000,6.950000,7.130000,7.130000,125000
2019-08-22,7.010000,7.200000,6.990000,7.140000,7.140000,126300
2019-08-23,7.150000,7.280000,7.080000,7.280000,7.280000,153300
2019-08-26,7.250000,7.300000,7.040000,7.170000,7.170000,137700
2019-08-27,7.110000,7.160000,6.600000,6.670000,6.670000,232500
2019-08-28,6.550000,6.950000,6.510000,6.760000,6.760000,148700
2019-08-29,6.660000,6.950000,6.660000,6.890000,6.890000,98600
2019-08-30,6.800000,6.940000,6.728000,6.780000,6.780000,109500
2019-09-03,6.680000,7.190000,6.680000,7.030000,7.030000,120900
2019-09-04,7.100000,7.531000,7.010000,7.240000,7.240000,355000
2019-09-05,7.390000,7.490000,7.170000,7.380000,7.380000,221200
2019-09-06,7.250000,7.400000,7.225000,7.300000,7.300000,55300
2019-09-09,7.300000,7.770000,7.300000,7.540000,7.540000,199600
2019-09-10,7.540000,8.090000,7.540000,7.910000,7.910000,251200
2019-09-11,7.980000,8.200000,7.880000,8.140000,8.140000,170500
2019-09-12,7.970000,8.450000,7.970000,8.260000,8.260000,345900
2019-09-13,8.170000,9.940000,8.122000,8.660000,8.660000,868200
2019-09-16,8.820000,9.570000,8.520000,9.520000,9.520000,414200
