Date,Open,High,Low,Close,Adj Close,Volume
7/15/2019,10.25,10.34,10.2,10.27,10.22412,42095100
7/16/2019,10.23,10.4,10.21,10.38,10.333629,39533200
7/17/2019,10.37,10.37,9.98,9.98,9.935414,53683000
7/18/2019,10.01,10.19,9.96,10.06,10.015058,45158500
7/19/2019,10.08,10.19,10.03,10.04,9.995148,34653900
7/22/2019,10.05,10.23,10.05,10.21,10.164388,43326900
7/23/2019,10.28,10.68,10.27,10.65,10.602422,74298300
7/24/2019,10.58,10.7,10.54,10.68,10.632288,44897500
7/25/2019,10.63,10.67,10.36,10.43,10.383405,46121000
7/26/2019,10.47,10.55,10.4,10.51,10.463047,27015800
7/29/2019,10.5,10.58,10.38,10.38,10.333629,37369400
7/30/2019,10.39,10.58,10.28,10.52,10.473004,45314500
7/31/2019,10.76,10.79,10.05,10.45,10.403315,172474100
8/1/2019,10.37,10.49,9.98,10.08,10.034967,87921700
8/2/2019,10.01,10.08,9.82,10,9.955326,64296400
8/5/2019,9.79,9.81,9.61,9.66,9.616844,70243200
8/6/2019,9.71,9.75,9.48,9.57,9.527246,66397800
8/7/2019,9.44,9.47,9.23,9.46,9.417738,76790400
8/8/2019,9.51,9.53,9.32,9.49,9.447603,49406600
8/9/2019,9.47,9.48,9.12,9.15,9.109123,76720800
8/12/2019,9.04,9.09,8.95,9.05,9.009571,65390400
8/13/2019,9.23,9.59,9.21,9.35,9.30823,74026400
8/14/2019,9.24,9.3,8.96,9.03,8.989659,89194600
8/15/2019,8.54,8.63,7.65,8.01,7.974216,401048700
8/16/2019,8.41,8.8,8.37,8.79,8.750731,248883600
8/19/2019,8.88,8.89,8.61,8.67,8.631268,111637600
8/20/2019,8.58,8.6,8.33,8.38,8.342563,102302300
8/21/2019,8.36,8.48,8.14,8.16,8.123546,85258500
8/22/2019,8.18,8.31,8.11,8.19,8.153411,68146600
8/23/2019,8.09,8.1,7.76,7.97,7.934394,128598300
8/26/2019,8.06,8.1,7.92,8.05,8.014037,57987200
8/27/2019,8.09,8.11,7.91,7.93,7.894573,66069600
8/28/2019,7.92,7.99,7.76,7.94,7.904529,57698300
8/29/2019,8.04,8.2,8,8.11,8.07377,58741000
8/30/2019,8.14,8.26,8.11,8.25,8.213144,47323600
9/3/2019,8.1,8.39,8.08,8.33,8.292787,67648900
9/4/2019,8.41,8.87,8.4,8.8,8.760687,93653700
9/5/2019,8.99,9.23,8.8,8.81,8.770642,86891100
9/6/2019,8.82,8.82,8.57,8.71,8.671087,42846200
9/9/2019,8.75,9.05,8.73,8.96,8.919971,49960500
9/10/2019,8.91,9.27,8.9,9.14,9.099168,62617200
9/11/2019,9.15,9.36,9.06,9.36,9.318185,57094900
9/12/2019,9.4,9.52,9.22,9.26,9.218632,68115100
9/13/2019,9.31,9.45,9.14,9.34,9.308327,45589400
9/16/2019,9.3,9.42,9.17,9.38,9.348191,45748400
9/17/2019,9.3,9.39,9.25,9.36,9.328259,37954000
9/18/2019,9.31,9.39,9.18,9.38,9.348191,40270700
9/19/2019,9.35,9.5,9.34,9.42,9.388056,33935300
9/20/2019,9.46,9.54,9.34,9.37,9.338224,57530400
9/23/2019,9.22,9.39,9.2,9.34,9.308327,33511100
9/24/2019,9.31,9.35,8.96,8.97,8.939582,53343000
9/25/2019,8.96,9.2,8.94,9.16,9.128936,43859400
9/26/2019,9.18,9.21,8.96,9.02,8.989412,37229800
9/27/2019,9.04,9.17,8.99,9.04,9.009343,30511000
9/30/2019,9.08,9.1,8.94,8.94,8.909682,35091400
10/1/2019,8.96,9.04,8.51,8.61,8.580801,68778600
10/2/2019,8.56,8.62,8.41,8.51,8.481141,47520800
10/3/2019,8.5,8.71,8.25,8.71,8.680462,58626600
10/4/2019,8.61,8.7,8.54,8.57,8.540937,52272800
10/7/2019,8.55,8.65,8.48,8.56,8.530972,32170400
10/8/2019,8.48,8.5,8.27,8.28,8.251921,45502400
10/9/2019,8.31,8.37,8.24,8.35,8.321684,32840800
10/10/2019,8.34,8.52,8.31,8.45,8.421345,30546100
10/11/2019,8.59,8.92,8.58,8.8,8.770158,55835000
10/14/2019,8.84,8.85,8.64,8.72,8.69043,34052700
10/15/2019,8.74,8.92,8.61,8.89,8.859853,38834300
10/16/2019,8.86,9.07,8.84,8.9,8.869819,57841500
10/17/2019,8.92,9.09,8.88,9.04,9.009343,32661000
10/18/2019,9.01,9.1,8.95,8.96,8.929615,39012900
10/21/2019,8.99,9.12,8.76,8.79,8.760191,60584800
10/22/2019,8.77,9.06,8.61,9.06,9.029276,57115100
10/23/2019,8.98,9.15,8.93,9.14,9.109005,47584900
10/24/2019,9.12,9.15,8.88,8.95,8.919649,34131700
10/25/2019,8.92,9.09,8.92,9,8.96948,42159700
10/28/2019,9.02,9.12,8.99,9.07,9.039242,31754900
10/29/2019,9.01,9.14,8.93,9.07,9.039242,45759000
10/30/2019,9.78,10.37,9.71,10.11,10.075715,215943400
10/31/2019,10.05,10.21,9.86,9.98,9.946156,86633900
11/1/2019,10.08,10.39,10.06,10.38,10.3448,82053300
11/4/2019,10.42,10.95,10.42,10.93,10.892935,97780000
11/5/2019,10.92,10.97,10.72,10.97,10.932799,71381700
11/6/2019,10.93,11.1,10.79,11.02,10.982629,78002300
11/7/2019,11.1,11.32,11.09,11.29,11.251714,71082300
11/8/2019,11.23,11.55,11.14,11.52,11.480934,62480600
11/11/2019,11.4,11.5,11.24,11.35,11.31151,45575600
11/12/2019,11.32,11.58,11.29,11.42,11.381272,48942900
11/13/2019,11.29,11.36,11.18,11.29,11.251714,53981300
11/14/2019,11.18,11.35,11.18,11.29,11.251714,30790600
11/15/2019,11.34,11.55,11.33,11.52,11.480934,38236200
11/18/2019,11.41,11.5,11.33,11.44,11.401205,50972400
11/19/2019,11.43,11.55,11.26,11.5,11.461001,46832800
11/20/2019,11.44,11.49,11.26,11.39,11.351375,46690100
11/21/2019,11.33,11.62,11.31,11.53,11.4909,41688800
11/22/2019,11.49,11.72,11.49,11.55,11.510833,38481800
11/25/2019,11.66,11.84,11.57,11.58,11.54073,56710200
11/26/2019,11.62,11.67,11.31,11.35,11.31151,64193900
11/27/2019,11.39,11.47,11.26,11.29,11.251714,45498700
11/29/2019,11.28,11.36,11.22,11.27,11.231781,22739300
12/2/2019,11.31,11.52,11.14,11.16,11.122155,68711100
12/3/2019,11,11.11,10.81,10.99,10.952731,64048700
12/4/2019,11.17,11.18,10.87,10.9,10.863035,43748500
12/5/2019,10.89,10.96,10.76,10.79,10.75341,47273400
12/6/2019,10.9,11.11,10.85,11.1,11.062359,50596900
12/9/2019,10.98,11.13,10.97,10.99,10.952731,26695700
12/10/2019,10.99,11.03,10.92,11.01,10.972664,24780900
12/11/2019,10.97,11.09,10.95,10.97,10.932799,36712500
12/12/2019,11.35,11.57,11.24,11.44,11.401205,99880100
12/13/2019,11.5,11.6,11.33,11.34,11.301545,52637100
12/16/2019,11.28,11.36,11.13,11.17,11.13212,55512900
12/17/2019,11.15,11.23,11.08,11.1,11.062359,41749300
12/18/2019,11.02,11.14,10.92,10.96,10.922832,75428100
12/19/2019,10.98,11.15,10.98,11.04,11.002562,45306600
12/20/2019,11.08,11.14,10.9,11.03,11.002562,73641100
12/23/2019,11,11.17,11,11.16,11.132238,44033200
12/24/2019,11.1,11.2,11.09,11.19,11.162164,20769000
12/26/2019,11.18,11.23,11.13,11.23,11.202064,30366700
12/27/2019,11.17,11.21,11.13,11.18,11.152189,29971800
12/30/2019,11.07,11.16,11.03,11.08,11.052437,48146000
12/31/2019,11,11.16,10.96,11.16,11.132238,56658000
1/2/2020,11.23,11.96,11.23,11.93,11.900323,87421800
1/3/2020,11.57,12,11.53,11.97,11.940224,85885800
1/6/2020,11.84,12.21,11.84,12.14,12.1098,111948700
1/7/2020,12.15,12.24,11.92,12.05,12.020024,70579300
1/8/2020,11.99,12.05,11.87,11.94,11.910297,55402500
1/9/2020,12.07,12.09,11.83,11.91,11.880373,39377100
1/10/2020,11.84,11.91,11.59,11.67,11.640969,58652000
1/13/2020,11.74,12.15,11.68,12.12,12.08985,66161500
1/14/2020,12.16,12.19,11.99,12.03,12.000074,45030000
1/15/2020,12.02,12.02,11.83,11.87,11.840472,46051000
1/16/2020,11.94,11.98,11.82,11.84,11.810547,36673600
1/17/2020,11.85,11.93,11.76,11.81,11.780622,46580700
1/21/2020,11.74,11.8,11.61,11.66,11.630995,42510100
1/22/2020,11.71,11.71,11.35,11.37,11.341716,61947800
1/23/2020,11.73,11.85,11.6,11.77,11.740721,73162900
1/24/2020,11.88,11.89,11.62,11.71,11.68087,59375800
1/27/2020,11.45,11.59,11.38,11.44,11.411542,47862600
1/28/2020,11.52,11.82,11.47,11.73,11.70082,62928600
1/29/2020,12.57,13,12.49,12.94,12.90781,220689300
1/30/2020,12.89,12.99,12.5,12.73,12.698333,95469300
1/31/2020,12.68,12.74,12.34,12.45,12.419029,77984000
2/3/2020,12.46,12.68,12.25,12.26,12.229503,50399300
2/4/2020,12.49,12.62,12.39,12.58,12.548706,44385200
2/5/2020,12.76,12.86,12.57,12.86,12.828009,50073900
2/6/2020,12.94,13,12.83,12.95,12.917786,63613900
2/7/2020,13.02,13.09,12.81,12.83,12.798084,66636600
2/10/2020,12.84,12.97,12.77,12.91,12.877885,33495500
2/11/2020,12.95,12.98,12.78,12.85,12.818035,40882300
2/12/2020,12.95,13.26,12.88,13.16,13.127263,65712900
2/13/2020,13.08,13.16,12.9,12.94,12.90781,51012300
2/14/2020,12.97,13.07,12.75,12.83,12.798084,36967100
2/18/2020,12.71,12.95,12.67,12.75,12.718284,43963500
2/19/2020,12.7,12.94,12.59,12.61,12.57863,54878300
2/20/2020,12.65,12.68,12.41,12.53,12.498831,39561900
2/21/2020,12.45,12.46,12.22,12.25,12.219527,42921200
2/24/2020,11.69,12.06,11.6,11.86,11.830497,70978000
2/25/2020,11.97,12,11.18,11.32,11.29184,81087400
2/26/2020,11.37,11.54,10.8,10.95,10.92276,93118000
2/27/2020,10.62,10.95,10.31,10.39,10.364154,94200800
2/28/2020,9.95,11.19,9.86,10.88,10.852935,151373200
3/2/2020,11.21,11.34,10.76,11.21,11.182115,124802200
3/3/2020,11.25,11.38,10.67,10.88,10.852935,109249200
3/4/2020,11.06,11.12,10.7,10.95,10.92276,83063100
3/5/2020,10.6,10.73,9.95,10.08,10.054925,108087200
3/6/2020,9.74,9.76,9.18,9.4,9.385927,148463500
3/9/2020,8.33,8.66,8.11,8.21,8.197709,122400700
3/10/2020,8.78,8.85,8.16,8.85,8.836752,98938900
3/11/2020,8.62,8.66,8.16,8.21,8.197709,103402500
3/12/2020,7.23,7.78,6.83,7.23,7.219176,157416100
3/13/2020,7.8,8.04,7.19,7.85,7.838248,110144600
