Date,Open,High,Low,Close,Adj Close,Volume
7/15/2019,15.44,15.6,15.01,15.47,15.47,2435400
7/16/2019,15.48,15.595,15.02,15.24,15.24,3564300
7/17/2019,15.14,15.24,14.61,14.86,14.86,3314900
7/18/2019,14.9,15.365,14.845,15.07,15.07,4640100
7/19/2019,15.1,15.299,14.88,14.9,14.9,5086000
7/22/2019,14.89,15.11,14.4,14.53,14.53,2949000
7/23/2019,14.65,14.83,14.32,14.68,14.68,3099300
7/24/2019,14.6,15.73,14.6,15.72,15.72,3897700
7/25/2019,15.62,16.049999,15.58,15.91,15.91,2979500
7/26/2019,15.95,16.09,15.72,16.049999,16.049999,2696900
7/29/2019,16.040001,16.17,15.82,16.01,16.01,2867200
7/30/2019,15.9,16.231001,15.42,16.129999,16.129999,3352200
7/31/2019,16.120001,16.41,15.36,15.52,15.52,5188900
8/1/2019,15.65,15.8,14.68,14.89,14.89,3930500
8/2/2019,14.9,15,14.15,14.68,14.68,4110800
8/5/2019,14.41,14.48,13.69,14.23,14.23,6538000
8/6/2019,14.3,15.06,14.1,14.94,14.94,7594100
8/7/2019,15.17,15.62,13.43,14.17,14.17,9465600
8/8/2019,14.76,14.8,14,14.61,14.61,5308000
8/9/2019,14.45,14.66,14.19,14.48,14.48,3537400
8/12/2019,14.22,14.36,13.26,13.38,13.38,5161500
8/13/2019,13.4,13.8,13.08,13.38,13.38,3628900
8/14/2019,13.18,13.19,12.48,12.6,12.6,4358100
8/15/2019,12.75,12.85,11.89,12.05,12.05,5042200
8/16/2019,12.12,12.34,12.073,12.26,12.26,5452700
8/19/2019,12.54,12.88,12.44,12.47,12.47,4126800
8/20/2019,12.42,12.57,12.19,12.4,12.4,1874000
8/21/2019,12.48,12.56,11.87,12.09,12.09,3888200
8/22/2019,12.13,12.38,12.04,12.12,12.12,3119800
8/23/2019,11.96,12.17,11.53,11.76,11.76,4246400
8/26/2019,11.96,12.03,11.69,11.9,11.9,3730000
8/27/2019,12,12.145,11.53,11.7,11.7,3816800
8/28/2019,11.65,11.74,11.24,11.65,11.65,6376900
8/29/2019,11.82,12.353,11.82,12.11,12.11,3574400
8/30/2019,12.19,12.44,12.05,12.11,12.11,1291700
9/3/2019,11.95,12.06,11.66,11.83,11.83,2269800
9/4/2019,11.96,12.24,11.86,11.93,11.93,2633900
9/5/2019,12.21,12.58,12.17,12.37,12.37,2785000
9/6/2019,12.45,12.64,12.19,12.43,12.43,1527100
9/9/2019,12.55,13.92,12.51,13.9,13.9,5392500
9/10/2019,13.83,14.52,13.71,14.25,14.25,4122000
9/11/2019,14.35,14.54,14.131,14.39,14.39,2575800
9/12/2019,14.55,15,14.33,14.91,14.91,4172900
9/13/2019,14.93,15.21,14.855,15,15,4853500
9/16/2019,14.88,15.09,14.71,14.82,14.82,1949100
9/17/2019,14.72,14.85,14.31,14.59,14.59,2374300
9/18/2019,14.54,14.7,13.76,14.01,14.01,3478700
9/19/2019,13.96,14.02,13.42,13.5,13.5,4242000
9/20/2019,13.59,13.78,13.32,13.33,13.33,2831200
9/23/2019,13.2,13.765,13.09,13.68,13.68,2345200
9/24/2019,13.71,13.8,13.305,13.6,13.6,2747300
9/25/2019,13.54,13.98,13.52,13.77,13.77,1602500
9/26/2019,13.7,13.8,13.59,13.6,13.6,1806600
9/27/2019,13.64,14.24,13.59,13.67,13.67,2202800
9/30/2019,13.69,13.98,13.42,13.84,13.84,1676000
10/1/2019,13.9,14.25,13.48,13.54,13.54,1932000
10/2/2019,13.4,13.42,12.44,12.61,12.61,4443100
10/3/2019,12.5,12.5,11.8,12.36,12.36,4656200
10/4/2019,12.38,12.64,12.06,12.44,12.44,2045900
10/7/2019,12.32,12.645,12.26,12.58,12.58,1910600
10/8/2019,12.46,12.59,12.32,12.46,12.46,1322100
10/9/2019,12.58,12.8,12.5,12.73,12.73,1547700
10/10/2019,12.8,12.995,12.645,12.93,12.93,2126300
10/11/2019,13.16,13.69,13.1,13.53,13.53,2967900
10/14/2019,13.48,13.72,13.28,13.64,13.64,1261900
10/15/2019,13.66,13.875,13.45,13.77,13.77,1905800
10/16/2019,13.73,14.07,13.66,13.72,13.72,1273900
10/17/2019,13.76,14,13.68,13.98,13.98,1448000
10/18/2019,13.91,14.14,13.69,13.72,13.72,2442200
10/21/2019,13.86,14.09,13.68,14.08,14.08,3226400
10/22/2019,14.17,14.62,13.9,14.55,14.55,2367200
10/23/2019,14.46,14.6,14.145,14.54,14.54,1993300
10/24/2019,14.22,14.32,13.435,13.86,13.86,3517300
10/25/2019,13.74,14.1,13.63,13.92,13.92,3177000
10/28/2019,14,14.345,13.97,14.19,14.19,1637500
10/29/2019,14.04,14.15,13.79,13.85,13.85,1860100
10/30/2019,13.8,13.93,13.13,13.55,13.55,2678700
10/31/2019,13.49,13.59,13.19,13.51,13.51,2631900
11/1/2019,13.2,13.99,13.19,13.74,13.74,2963000
11/4/2019,13.99,14.35,13.89,14.13,14.13,3081800
11/5/2019,14.48,16.177,14.45,16.1,16.1,10250700
11/6/2019,16.040001,16.799999,15.81,16.200001,16.200001,5260100
11/7/2019,16.23,16.549999,16.18,16.34,16.34,4846500
11/8/2019,16.379999,16.834999,16.26,16.66,16.66,2798300
11/11/2019,16.540001,16.940001,16.42,16.790001,16.790001,1771700
11/12/2019,16.879999,17.120001,16.559999,16.610001,16.610001,2321300
11/13/2019,16.4,16.549999,16.17,16.280001,16.280001,1640000
11/14/2019,16.200001,16.530001,16.1,16.280001,16.280001,1921400
11/15/2019,16.459999,16.540001,16.27,16.469999,16.469999,1457900
11/18/2019,16.4,16.6,16.174999,16.24,16.24,1682100
11/19/2019,16.299999,16.379999,15.77,15.91,15.91,1972000
11/20/2019,15.82,15.95,15.06,15.09,15.09,2829100
11/21/2019,15.26,15.46,15.13,15.37,15.37,1586900
11/22/2019,15.42,15.79,15.41,15.61,15.61,1109800
11/25/2019,15.61,16.15,15.505,16,16,1307400
11/26/2019,16.059999,16.139999,15.735,15.75,15.75,2250100
11/27/2019,15.87,15.936,15.49,15.72,15.72,1587100
11/29/2019,15.6,15.78,15.47,15.5,15.5,684800
12/2/2019,15.63,15.7,15.185,15.32,15.32,2456900
12/3/2019,15.02,15.28,14.88,15.2,15.2,1719500
12/4/2019,15.26,15.61,15.2,15.33,15.33,1727000
12/5/2019,15.35,15.645,15.28,15.34,15.34,1048900
12/6/2019,15.5,16.299999,15.5,16.219999,16.219999,2235100
12/9/2019,16.16,16.475,16,16.190001,16.190001,1672800
12/10/2019,16.18,16.219999,15.96,16.139999,16.139999,1006200
12/11/2019,16.17,16.365,16.09,16.209999,16.209999,1084700
12/12/2019,16.23,16.65,15.17,15.43,15.43,5415000
12/13/2019,15.45,15.68,14.86,15.51,15.51,3419000
12/16/2019,15.68,16.049999,15.67,15.86,15.86,2342700
12/17/2019,15.91,16.280001,15.85,16.1,16.1,1513800
12/18/2019,16.200001,16.309999,15.94,16.01,16.01,2091000
12/19/2019,16.030001,16.23,15.875,15.95,15.95,1241900
12/20/2019,16,16.299999,15.81,16.190001,16.190001,2029900
12/23/2019,16.200001,16.290001,16.059999,16.129999,16.129999,951100
12/24/2019,16.17,16.42,16.155001,16.25,16.25,615200
12/26/2019,16.25,16.33,15.615,15.84,15.84,2000600
12/27/2019,15.98,16.07,15.59,15.66,15.66,1542900
12/30/2019,15.67,15.95,15.32,15.63,15.63,3842400
12/31/2019,15.6,15.99,15.6,15.75,15.75,2000300
1/2/2020,16.059999,16.205,15.72,16.07,16.07,2388700
1/3/2020,15.85,16,15.76,15.88,15.88,1957000
1/6/2020,15.7,16.09,15.6,15.98,15.98,1610900
1/7/2020,15.98,16.209999,15.83,15.84,15.84,1631900
1/8/2020,15.86,16.299999,15.78,16.26,16.26,2488600
1/9/2020,16.33,16.549999,16.139999,16.440001,16.440001,1865900
1/10/2020,16.42,16.469999,15.82,15.86,15.86,2460000
1/13/2020,15.94,16.34,15.92,16.25,16.25,2000200
1/14/2020,16.139999,16.865,16.09,16.799999,16.799999,2939600
1/15/2020,16.75,16.879999,16.41,16.540001,16.540001,2562700
1/16/2020,16.65,16.879999,16.58,16.700001,16.700001,1913200
1/17/2020,16.76,16.77,15.96,16.110001,16.110001,3388100
1/21/2020,16.049999,16.424999,16.014999,16.309999,16.309999,2875700
1/22/2020,16.43,16.66,16.27,16.309999,16.309999,1977100
1/23/2020,16.24,16.5,15.78,16.41,16.41,2728500
1/24/2020,16.459999,16.459999,16.030001,16.25,16.25,1788100
1/27/2020,15.8,15.96,15.42,15.52,15.52,3662400
1/28/2020,15.65,16.24,15.65,16.059999,16.059999,2139300
1/29/2020,16.15,16.42,15.87,16.01,16.01,1985700
1/30/2020,15.86,16.02,15.56,15.91,15.91,2324000
1/31/2020,15.75,15.925,15.62,15.76,15.76,1770800
2/3/2020,15.76,15.99,15.62,15.87,15.87,2112200
2/4/2020,16.18,16.735001,16,16.620001,16.620001,2089400
2/5/2020,16.75,17.280001,16.59,17.24,17.24,1919900
2/6/2020,17.34,17.459999,16.924999,16.940001,16.940001,1439600
2/7/2020,16.82,16.965,16.530001,16.82,16.82,924300
2/10/2020,16.65,17.5,16.639999,17.5,17.5,1511800
2/11/2020,17.5,18.16,17.440001,18.09,18.09,2756900
2/12/2020,18.33,18.940001,18.309999,18.74,18.74,3249600
2/13/2020,18.65,19.77,18.440001,19.58,19.58,3576200
2/14/2020,19.540001,19.790001,19.459999,19.709999,19.709999,2853500
2/18/2020,19.67,20.07,19.23,19.559999,19.559999,2314200
2/19/2020,19.66,19.83,19.24,19.41,19.41,2903000
2/20/2020,19.74,20.85,19.450001,20.290001,20.290001,5016800
2/21/2020,20.15,20.469999,19.84,20.25,20.25,3357200
2/24/2020,19.610001,19.68,19.24,19.360001,19.360001,3840600
2/25/2020,18.42,18.77,16.184999,16.5,16.5,8746400
2/26/2020,16.51,16.66,14.26,14.35,14.35,8602600
2/27/2020,13.78,13.82,12.16,13.15,13.15,11167000
2/28/2020,12.53,13.05,12.1,12.79,12.79,6217100
3/2/2020,12.85,12.98,12.02,12.53,12.53,6247600
3/3/2020,12.63,12.78,11.635,11.79,11.79,6234700
3/4/2020,11.94,12.11,10.865,11.45,11.45,7332200
3/5/2020,10.8,10.93,9.68,9.77,9.77,8260200
3/6/2020,9.18,9.62,8.19,8.86,8.86,9637300
3/9/2020,7.81,8.203,7.25,7.42,7.42,6535400
3/10/2020,7.86,8.46,7.355,8.37,8.37,6763200
3/11/2020,7.88,8.3,7.67,8.21,8.21,12294300
3/12/2020,7.18,7.68,6.91,7.01,7.01,12285200
3/13/2020,7.96,8.25,6.28,8.24,8.24,9000500
3/16/2020,7.44,7.89,6.1,6.11,6.11,9470200
3/17/2020,6.41,6.42,5.55,5.6,5.6,8459700
3/18/2020,5.3,5.328,3.18,3.38,3.38,16966100
3/19/2020,3.76,4.678,3.45,4.15,4.15,16839700
3/20/2020,5.09,5.93,4.75,5.14,5.14,20215900
3/23/2020,5.48,7.18,5.05,6.58,6.58,14518300
3/24/2020,7.99,8.88,7.343,8.21,8.21,18975100
3/25/2020,8.74,9.04,7.1,7.71,7.71,13968100
3/26/2020,8.14,8.34,7.14,7.24,7.24,12255900
3/27/2020,6.76,6.85,6.11,6.18,6.18,11157500
3/30/2020,6.11,6.15,5.55,5.96,5.96,7613400
3/31/2020,6.12,6.5,6,6.18,6.18,6018400
4/1/2020,5.78,5.89,5.35,5.47,5.47,8126900
4/2/2020,5.35,5.54,4.69,5.02,5.02,12763000
4/3/2020,5.18,5.63,4.46,4.79,4.79,12440000
4/6/2020,5.4,5.5,4.9,5.12,5.12,12556500
4/7/2020,5.63,6.41,5.52,5.69,5.69,21584500
4/8/2020,5.98,6.14,5.42,5.96,5.96,11500500
4/9/2020,6.38,6.88,6.04,6.26,6.26,17976700
4/13/2020,6.35,6.39,5.66,5.76,5.76,10754900
4/14/2020,5.92,6.248,5.8,6.02,6.02,9357600
4/15/2020,5.8,5.98,5.6,5.8,5.8,7172700
4/16/2020,5.22,5.22,4.65,4.93,4.93,30688800
4/17/2020,5.4,5.42,4.95,5.01,5.01,16156900
4/20/2020,4.81,4.87,4.55,4.65,4.65,19743400
4/21/2020,4.44,4.56,4.15,4.27,4.27,14864000
4/22/2020,4.49,4.49,4.03,4.04,4.04,13794300
4/23/2020,4.05,4.14,3.76,3.95,3.95,24741200
4/24/2020,3.82,3.99,3.42,3.71,3.71,45158600
4/27/2020,3.86,4.55,3.83,4.48,4.48,37014300
4/28/2020,4.88,5.08,4.47,5,5,37996900
4/29/2020,5.25,5.46,3.56,4,4,95911800
4/30/2020,3.97,4.25,3.845,4.04,4.04,26459400
5/1/2020,3.86,3.87,3.49,3.51,3.51,28024300
5/4/2020,3.41,3.78,3.18,3.59,3.59,27758000
5/5/2020,3.16,3.4,2.8,3.01,3.01,49965100
5/6/2020,3.16,3.2,2.91,2.92,2.92,13416100
5/7/2020,3,3.1,2.8,3.05,3.05,14429800
5/8/2020,3.15,3.38,3.04,3.27,3.27,17481600
5/11/2020,3.35,3.35,3.03,3.19,3.19,11087700
5/12/2020,3.05,3.24,2.89,2.9,2.9,12967900
5/13/2020,2.92,2.92,2.6,2.76,2.76,11968300
5/14/2020,2.61,2.81,2.32,2.79,2.79,14562500
5/15/2020,2.71,2.84,2.61,2.64,2.64,7272600
5/18/2020,3.03,3.3,2.87,3.17,3.17,23110000
5/19/2020,3.38,3.4,2.9,2.96,2.96,19827500
5/20/2020,3.06,3.19,2.88,3.01,3.01,21884400
5/21/2020,3,3.14,2.95,3.07,3.07,16749600
5/22/2020,3.03,3.04,2.8,2.84,2.84,25626800
5/26/2020,0.41,1.47,0.4,0.555,0.555,143585000
5/27/2020,0.91,1.49,0.8,1.31,1.31,345869800
5/28/2020,1.16,1.22,1,1.02,1.02,119569500
5/29/2020,1.07,1.13,1,1,1,40261000
6/1/2020,1.01,1.05,0.835,0.89,0.89,60753400
6/2/2020,0.91,0.93,0.82,0.853,0.853,41301400
6/3/2020,0.857,0.86,0.78,0.816,0.816,38080300
6/4/2020,0.8,1.87,0.8,1.5,1.5,267963600
6/5/2020,3.48,3.7,2.31,2.57,2.57,342187100
6/8/2020,3.37,6.25,3.09,5.53,5.53,533891800
6/9/2020,4.78,5.8,3.4,4.18,4.18,299658900
6/10/2020,3.54,3.85,2.5,2.52,2.52,223181000
6/11/2020,1.87,2.47,1.71,2.06,2.06,125327200
6/12/2020,3.21,3.47,2.56,2.83,2.83,283984500
6/15/2020,2.19,2.72,1.73,1.88,1.88,176826500
6/16/2020,2.13,2.28,1.75,1.95,1.95,93974200
6/17/2020,1.85,2.35,1.76,2,2,127195600
6/18/2020,1.93,1.97,1.8,1.8,1.8,38443400
6/19/2020,1.85,1.86,1.66,1.73,1.73,34908400
6/22/2020,1.64,1.66,1.32,1.4,1.4,43689300
6/23/2020,1.25,1.29,1.11,1.24,1.24,43315000
6/24/2020,1.56,2.49,1.38,1.61,1.61,275883900
6/25/2020,1.95,1.98,1.56,1.69,1.69,82578800
6/26/2020,1.56,1.61,1.36,1.49,1.49,39250900
6/29/2020,1.55,1.58,1.38,1.45,1.45,20256300
6/30/2020,1.46,1.48,1.39,1.41,1.41,13152100
7/1/2020,1.44,1.56,1.41,1.47,1.47,20735600
7/2/2020,1.55,1.58,1.43,1.5,1.5,15620800
7/6/2020,1.56,1.58,1.41,1.46,1.46,14800900
7/7/2020,1.41,1.42,1.35,1.37,1.37,11710100
7/8/2020,1.38,1.48,1.3,1.48,1.48,18819300
7/9/2020,1.45,1.59,1.39,1.45,1.45,14804500
