date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2019-07-15,"#Earnings Report Dates (many ""estimated"" so check 1 week out or so) $AMZN 7/25/2019   $AMT 7/31/2019   $BKNG 8/8/2019   $DIS 8/6/2019  $MAXR 7/30/2019 (speculative) $NPSNY  6/21/2019  $O 8/5/2019   $SQ 8/1/2019  $WFC 7/16/20... https://stocktwits.com/SunAndStorm/message/170593114 …","⬆ Buy (44%) for $CSCO
⬆⬆ Strong Buy (70%) for $URI
⬇ Sell (-26%) for $AMT
⬆⬆ Strong Buy (85%) for $DRI
⬆⬆ Strong Buy (81%) for $GOOG",American Tower's overweight rating reiterated at KeyCorp. $225.00 PT.  http://www.marketbeat.com/r/1235791  $AMT #AMT via @RatingsNetwork,"on private competition: ""the largest private owner of tower sites accounts for just about 2% of all towers"" (cc: $CCI, $AMT, $SBAC) pic.twitter.com/2a0FWAcTb1",Added to $AMT 210.98," https://www.wsj.com/articles/cellphone-tower-companies-race-higher-11563192000?mod=hp_lead_pos4 …

Currently up at least 20% from where they traded six months ago. $CCI $AMT $SBAC $BTC","Strong Stocks  watch-list for trading on Jul 15, 2019 $QQQ $SPY $IWM @tradealike #success #trading #options #stock #investing $COST $HD $DG $PEP $KO $ACN $MDT $ED $BRK.B $AMT  pic.twitter.com/RoShj8pcVr",$AMT KeyBanc Maintains to Overweight : PT $225.00  https://stockhoot.com/ExtSymbol.aspx?from=AnalystRatingTweet&symbol=AMT&t=917&Social=Twitter …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16,"@AutonomousCNS For the past 60 days, there are 0 buy and 1 short recommendations on $AMT, ratio is 0.0%. Major short reasons are Value, Earnings.","@SwingTradeAsx For the past 60 days, there are 0 buy and 1 short recommendations on $AMT, ratio is 0.0%. Major short reasons are Value, Earnings.","@PriceTargetsNet For the past 60 days, there are 0 buy and 1 short recommendations on $AMT, ratio is 0.0%. Major short reasons are Value, Earnings.","Interesting Read:  #5G
 https://www.wsj.com/articles/cellphone-tower-companies-race-higher-11563192000 …

Tickers:
Towers: $CCI, $AMT, $SBAC
Providers:  $VZ, $T, $TMUS",20 DMA Support today: $FULT $ILPT $CTLT $SCHL $DAN $CVGI $FL $JBT $MTDR $UCTT $AXSM $ZSAN $NDLS $KR $OUT $ARKG $MBRX $AMT $SEDG $DCIX ... https://swingtradebot.com/alerts/34-20-dma-support …,"Stocks with cheaper options (low IV/IV percentile)  watch-list for Jul 16, 2019 $QQQ $SPY $IWM @tradealike #success #trading #options #stock $COST $PEP $HD $ACN $DG $BRK/B $CVX $AMT $AGN $MCD pic.twitter.com/qEar9jE33F",Colby Synesael published detailed wireless telecom and towers earnings preview. Full report out today $AMT $CCI $T $SBAC $S $TMUS $VZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17,"My knee jerk reaction is the same.
However, at least he has a logical & valid argument.
Doing the right thing, is the right thing to do.
However is ""Any $AMT for Infinity"" the financially prudent decision? Is there no fiduciary responsibility to the Tax Payer, to limit liability?","$CCI 2Q19 release: ""Our current tower leasing activity is our highest in more than a decade, and we believe this level of activity will carry into next year""; small cell deployments slower than expected (cc: $AMT, $SBAC)  https://investor.crowncastle.com/news-releases/news-release-details/crown-castle-reports-second-quarter-2019-results-and-raises … pic.twitter.com/gRAhKXKLKG","$AMT ALERT: New American Tower SEC Filing
From our Stock News Alerts App","Silver Ring Value Partners Q2 2019 letter
$FOX $AMT $AGN
 https://gallery.mailchimp.com/57cdfc490b101d54b70128c06/files/78d8146b-e404-45ae-8340-bf300c90bc00/SilverRingValuePartners_2019Q2_Letter.pdf … pic.twitter.com/oApCZc2sP3",$AMT wedge break on second test.  pic.twitter.com/6Q7dChYoYr,$AMT wedge base bounce play confirmed.  pic.twitter.com/Ab0mnXHQms,$AMT wedgy.  pic.twitter.com/XjNvs5qh9z,$AMT possible double bottom 15MIN at 208.81.,"Stocks with cheaper options (low IV/IV percentile)  watch-list for Jul 17, 2019 $QQQ $SPY $IWM @tradealike #success #trading #options #stock $ACN $COST $PEP $AABA $DG $KO $HD $BRK.B $AMT $CELG pic.twitter.com/VfSJdZ16Zq","Strong Stocks  watch-list for trading on Jul 17, 2019 $QQQ $SPY $IWM @tradealike #success #trading #options #stock #investing $ACN $COST $PEP $DG $KO $HD $BRK.B $AMT $MDT $NKE pic.twitter.com/LQ33phIsx3",American Tower $AMT PT Raised to $225.00 at KeyCorp  http://www.dailypolitical.com/?p=2958140 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-18,"Long term investments for myself right now are concentrated completely on 5G,A.I.,and American produced fossil fuels. $AMT, $NVDA, $KMI. My personal favorites per sector.",3 Stocks Warren Buffett Would Love to Own @themotleyfool #stocks $AMT $DIS $CNI $BRK-A $BRK-B $NFLX https://www.fool.com/investing/2019/07/18/3-stocks-warren-buffett-would-love-to-own.aspx …,#towers $SBAC $AMT $CCI  3 year look through yesterday pic.twitter.com/du18tjCixf,50 DMA Support today: $GILD $AMT $BCS $ICON $ROX $AETI $DCP $GWRE $NVRO $OMC $DPLO $CHKP $CATY $DY $GLOP $MOH $MITT $WDR $ROK $MRK ... https://swingtradebot.com/alerts/35-50-dma-support …,"Stocks with cheaper options (low IV/IV percentile)  watch-list for Jul 18, 2019 $QQQ $SPY $IWM @tradealike #success #trading #options #stock $AABA $ACN $COST $PEP $BRK/B $DG $HD $MDT $AMT $AGN pic.twitter.com/xj2ZQJJLL7","Strong Stocks  watch-list for trading on Jul 18, 2019 $QQQ $SPY $IWM @tradealike #success #trading #options #stock #investing $ACN $COST $PEP $DG $HD $MDT $AMT $JPM $NKE $MCD pic.twitter.com/Xn80HBZWon",KeyCorp Boosts American Tower $AMT Price Target to $225.00   http://www.thestockobserver.com/?p=2175294 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-19,Good deal. Cc $amt.,"We believe #communications #infrastructurecompanies represent an attractive #longtermopportunity, driven by potentially massive #investments in the #5Gbuildout in coming years.
--- Cohen & Steers 

$AMT $CCI $SBAC $CONE $DLR $EQIX #5G #5gwireless #DatacenterREITs #TowerREITs https://twitter.com/BoB2Trader/status/1152230795752296448 …","Today, #tower and #datacenter #REITs make up nearly a 1/4 of the U.S. #REIT market, valued at $1.1 trillion.
--- Source: Cohen & Steers

$AMT $CCI $SBAC
$VZ $T $S $TMUS
$CONE $DLR $EQIX
$AMZN $IBM $MSFT $ORCL $EBAY $FB $GOOG $NFLX $JPM $MS
#5G #5gwireless $VNQ $ICF $SCHH $IYR","⬆⬆ Strong Buy (59%) for $TXT
⬇ Sell (-41%) for $AMT
⬆⬆ Strong Buy (63%) for $PRU
⬆⬆ Strong Buy (67%) for $DRE
⬆⬆ Strong Buy (78%) for $AMAT","$ITEQ $VOX $IYZ $AMT $CMCSA $DIS $NWSA $FOXA $CBS $VIAB $SOCL $FB $NVDA $NDAQ $LBRDK $CHTR $XLF $KBE $TEVA $TARO $MYL $PRGO $CRM $SBUX $XLV $XBI $BLK
Jews, Not Italians, Dominated American Organized Crime, Which Was Far More Powerful Than People Realize https://russia-insider.com/en/node/27461#.XTGF6VepJaM.twitter …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-20,Wondering about #sentiment indicator for $AMT? The Short Ratio is 2.12%  https://unicornbay.com/t/AMT.US?utm_medium=tweet&utm_campaign=shortratio&utm_source=twitter …,Do you know that #Book Value for $AMT is $12.1  https://unicornbay.com/t/AMT.US?utm_medium=tweet&utm_campaign=bookvalue&utm_source=twitter …,Wondering about risks of $AMT? The 63-day volatility is 7.94%  https://unicornbay.com/t/AMT.US?utm_medium=tweet&utm_campaign=volatility&utm_source=twitter …,Recent $AMT technical alerts: 180 Bearish Setup plus 9 more alerts...  https://swingtradebot.com/equities/AMT ,Explore #fundamental numbers and pros and cons for $AMT  https://unicornbay.com/t/AMT.US?utm_medium=tweet&utm_campaign=proscons&utm_source=twitter …,Ashford Hospitality Trust $AHT and American Tower $AMT Critical Review  http://weekherald.com/?p=3747307 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-21,"Join REIT Community:  https://www.reitnotes.com/reit-community/ 
$SPG $AMT $CCI $PLD $EQIX $PSA $WELL $AVB $EQR $SBAC $VTR $DLR $O $UDR $BXP $ESS $WY $ARE $INVH $HCP $EXR $MAA $NLY $HST $VNO $DRE $REG $BPR $SUI $HTA $ELS $HPP $CPT $FRT $AGNC $VICI $IRM $VER $GLPI $DEI $OHI $LAMR $KIM $STOR $KRC pic.twitter.com/LJC0L8ySsq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-22,$APC $JNJ $BX $JPM $WELL $DIS $STI $BBT $HD $AMCR $CVX $UNH $INFO $WPM $CI $C $FIS $EXC $PM $SCHW $BAC $AMT Largest MOC SELLS  pic.twitter.com/ZUQdKVlDgy,"EV Tax-Managed Global Diversified Equity, LONG $EXG, trading discount to NAV -5.04%, 5yr trading discount to NAV -4.26%, 1Year Zscore -0.90, YTD +16.33%, 2018 -11.91%, Distribution Rate 8.92%, monthly, 0 leverage, AUM $2.6B, $GOOG $AMZN $MSFT $NEE $DIS $AAPL $AMT $FB $ASML $TLTZF",$AMT $CCI $SBAC $SOX $SOXX 🧠🛰 $DOW $DD $CTVA $BAYRY $BASFY https://twitter.com/RonPaul/status/1149368788053368832 …,$CCI short interest ratio on 2019-05-31 is 4.12  http://sunshineavenue.com/stock/CCI/  $RCI 16.51 $TDS 2.96 $AMT 2.82 $CHL 1.88,"Catastrophic market volatility is coming, says one financial advisor. @mattkrantz explains which #investments offer safe havens:  http://ow.ly/aWSI50v7Ypo  #mutualfunds #ETFs #stockmarket #dividendstocks #stocks $VOO $VNQ $AMT $SPG",$AMT an interesting animal. Sagging for days while moneyflow has been on a tear to the upside. One of these is wrong.,$AMT Max Pain is 210.00 for maturity 07/26/2019. #maxpain #options  http://maximum-pain.com/options/max-pain/AMT … pic.twitter.com/3J5Ie0istD,Comparing American Tower $AMT and Ashford Hospitality Trust $AHT  http://zpr.io/gcSUT ,Comparing American Tower $AMT and Ashford Hospitality Trust $AHT  http://www.dailypolitical.com/?p=2962154 ,"MY TOP5 best companies long term

                  REAL STATE

1: American Tower Corp $AMT

2: Simon Property Group Inc $SPG

3: Crown Castle International Corp $CCI

4: Prologis Inc $PLD

5: Realty Income Corp $O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-23,"$IYZ $VOX $TAWK $MUTE $AMT $CCI $SBAC $VZ $T $TMUS $S $ITA
5G Is Millimeter Wave Technology. How The ACLU Weighs In On “Directed Energy Devices.”  http://www.jewworldorder.org/5g-is-millimeter-wave-technology-how-the-aclu-weighs-in-on-directed-energy-devices/ …",long watchlist $AMT  pic.twitter.com/U1XWfTKRi2,$AMT Max Pain=175.00. Maturity=07/26/2019. #maxpain #options  http://maximum-pain.com/options/max-pain/AMT … pic.twitter.com/7l27ASOcOZ,"$AMT daily.  Is it ready to give some back?  

Telecom Svs sub-sector RS has had declining RS vs. $SPY all year (see iX2000 chart).

$AMT chart:  Lower high, and also starting to lose RS to SPY, as well as to the Telecom Svcs sub-sector itself.  A double whammy.  pic.twitter.com/iEnuF4fiSi","According to my #AlternativeFacts, you should shift all your savings into American Tower (REIT) $AMT #Wallstreet",50 DMA Resistance today: $PEP $DIN $CIFS $TWMC $MDSO $IPGP $SCO $VGR $CLRB $BIB $UN $CDXS $ITB $IZRL $VRNT $CATB $AUTO $AMT $CASI $GNMX ... https://swingtradebot.com/alerts/39-50-dma-resistance …,"High probability pattern found form MCQ’s Pattern recognition module after market close 22.07.2019 for following assets:
 https://mycloudquant.com/2019/07/23/high-probability-patterns-from-mcqs-pattern-recognition-module-update-23-july-2019/ …
$AMT $GILD $FB $DISH $NFLX $SPXS $TJX $OJ_F $EXC $TSN $UNH $CSCO $L $AMGN $HUM $BLK $AZO $SPXU $EBAY $EXPE $SHW $LOW $PRU $DVN $CVS",KeyCorp Raises American Tower FY2020 Earnings Estimates to $8.76 EPS (Previously $8.50).  http://zpr.io/gcQRH  $AMT #AMT,"$AMT #American Tower Corp AMT - Embedded Expectations Analysis - 2019 07 23: American Tower Corporation (AMT:USA) currently trades above corporate averages relative to UAFRS-based (Uniform) Earnings, with a 34.1x Uniform P/E, implying bullish… http://dlvr.it/R8wB2j ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-24,SOME stocks im watching $zbra $ea $de $isrg $uri $jnj $spot $amgn $ntes $dis $low $amt $ttd $adbe $srpt. i added others im waiting to setup. pic.twitter.com/euiWtYKST3,"If you could make some time for $AMT  American Tower in the Mid-Week JP, would appreciate it. Not sure if I should flip it here, or hold out some.",$AMT bullish 5G name appears to be setting up a washout of longs under $205.,"BLOCK TRADE - $AMT: 144K shares @ $206.15, Position Value: $29,774,656","BLOCK TRADE - $AMT: 49.8K shares @ $206.7, Position Value: $10,295,727","Jul 24 - Premarket losers

$AMZN $NSC $GOOGL $CAT $ANTM $APH $TMO $TTD $FB $AMT
 http://stockbeep.com/preljul24 
#daytrading #stockmarket","$AMT's 10-day Moving Average moved above its 50-day Moving Average on January 16, 2019. View odds for this and other indicators:  https://tickeron.com/go/407848  pic.twitter.com/tb1sE2GL7k","High probability patterns from MCQ’s Pattern Recognition module Update 24.July.2019 

 https://mycloudquant.com/2019/07/24/high-probability-patterns-from-mcqs-pattern-recognition-module-update-24-july-2019/ … … 
   
$AMT $DLTR... https://stocktwits.com/MyCloudQuant/message/171543387 …","High probability patterns from MCQ’s Pattern Recognition module Update 24.July.2019
 https://mycloudquant.com/2019/07/24/high-probability-patterns-from-mcqs-pattern-recognition-module-update-24-july-2019/ …
$AMT $DLTR $BBY $ICE $ADBE $CNP $ISRG $BKNG $INTC $MU $SPXS $STZ $SPXU $COF $MCK $HD $LUV $ORCL $DHR $CMCSA $TSN $MMC $PEP $CSCO $US_F $CTL $KEY $BA $DIS $CHTR $BIIB $AZO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
